# Generado por Generate-LoadTestTags.ps1 el 2026-08-25 18:40 - 500 tags
# Nombres inventados. Decimales con PUNTO (InvariantCulture).
TAG_NAME_OPC_UA;TAG_NAME_OPC_DA;DATA_TYPE;MULTIPLICADOR;OFFSET;EU;SCAN_RATE_MS;DEADBAND;ACCESS_LEVEL;DESCRIPTION;ENABLED
PLANTA_01.EQUIPO_001.PRESION_ENTRADA;.PLANTA_01_EQUIPO_001_PRESION_ENTRADA;Double;1;0;bar;1000;0;Read;PRESION_ENTRADA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.PRESION_SALIDA;.PLANTA_01_EQUIPO_001_PRESION_SALIDA;Double;1;0;bar;1000;0;Read;PRESION_SALIDA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.TEMPERATURA_ENTRADA;.PLANTA_01_EQUIPO_001_TEMPERATURA_ENTRADA;Double;1;0;C;1000;0;Read;TEMPERATURA_ENTRADA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.TEMPERATURA_SALIDA;.PLANTA_01_EQUIPO_001_TEMPERATURA_SALIDA;Double;1.8;32;F;1000;0;Read;TEMPERATURA_SALIDA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CAUDAL_INSTANTANEO;.PLANTA_01_EQUIPO_001_CAUDAL_INSTANTANEO;Double;1;0;m3h;1000;0;Read;CAUDAL_INSTANTANEO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CAUDAL_TOTALIZADO;.PLANTA_01_EQUIPO_001_CAUDAL_TOTALIZADO;Double;0.001;0;m3;1000;0;Read;CAUDAL_TOTALIZADO de EQUIPO_001;True
PLANTA_01.EQUIPO_001.NIVEL_TANQUE;.PLANTA_01_EQUIPO_001_NIVEL_TANQUE;Double;0.01;0;pct;1000;0;Read;NIVEL_TANQUE de EQUIPO_001;True
PLANTA_01.EQUIPO_001.VIBRACION_X;.PLANTA_01_EQUIPO_001_VIBRACION_X;Double;0.01;0;mms;1000;0;Read;VIBRACION_X de EQUIPO_001;True
PLANTA_01.EQUIPO_001.VIBRACION_Y;.PLANTA_01_EQUIPO_001_VIBRACION_Y;Double;0.01;0;mms;1000;0;Read;VIBRACION_Y de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CORRIENTE_MOTOR;.PLANTA_01_EQUIPO_001_CORRIENTE_MOTOR;Double;0.1;0;A;1000;0;Read;CORRIENTE_MOTOR de EQUIPO_001;True
PLANTA_01.EQUIPO_001.TENSION_MOTOR;.PLANTA_01_EQUIPO_001_TENSION_MOTOR;Double;1;0;V;1000;0;Read;TENSION_MOTOR de EQUIPO_001;True
PLANTA_01.EQUIPO_001.POTENCIA_ACTIVA;.PLANTA_01_EQUIPO_001_POTENCIA_ACTIVA;Double;0.01;0;kW;1000;0;Read;POTENCIA_ACTIVA de EQUIPO_001;True
PLANTA_01.EQUIPO_001.VELOCIDAD_MOTOR;.PLANTA_01_EQUIPO_001_VELOCIDAD_MOTOR;Double;1;0;rpm;1000;0;Read;VELOCIDAD_MOTOR de EQUIPO_001;True
PLANTA_01.EQUIPO_001.TORQUE;.PLANTA_01_EQUIPO_001_TORQUE;Double;0.1;0;Nm;1000;0;Read;TORQUE de EQUIPO_001;True
PLANTA_01.EQUIPO_001.DENSIDAD;.PLANTA_01_EQUIPO_001_DENSIDAD;Double;1;0;kgm3;1000;0;Read;DENSIDAD de EQUIPO_001;True
PLANTA_01.EQUIPO_001.VISCOSIDAD;.PLANTA_01_EQUIPO_001_VISCOSIDAD;Double;0.01;0;cP;1000;0;Read;VISCOSIDAD de EQUIPO_001;True
PLANTA_01.EQUIPO_001.PH;.PLANTA_01_EQUIPO_001_PH;Double;0.001;0;pH;1000;0;Read;PH de EQUIPO_001;True
PLANTA_01.EQUIPO_001.CONDUCTIVIDAD;.PLANTA_01_EQUIPO_001_CONDUCTIVIDAD;Double;1;0;uScm;1000;0;Read;CONDUCTIVIDAD de EQUIPO_001;True
PLANTA_01.EQUIPO_001.HUMEDAD;.PLANTA_01_EQUIPO_001_HUMEDAD;Double;0.01;0;pct;1000;0;Read;HUMEDAD de EQUIPO_001;True
PLANTA_01.EQUIPO_001.APERTURA_VALVULA;.PLANTA_01_EQUIPO_001_APERTURA_VALVULA;Double;0.01;0;pct;1000;0;Read;APERTURA_VALVULA de EQUIPO_001;True
