ReadUtc;ItemId;RawUtc;CorrectedUtc;DeltaSeconds;WasCorrected
2026-08-21T23:17:40.2777100Z;Random.Real8;2026-08-21T19:26:15.0532704Z;2026-08-21T19:33:24.5500000Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Random.Real4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Random.Int4;2026-08-21T19:26:15.0532704Z;2026-08-21T19:33:24.5500000Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Random.Int2;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Random.UInt4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Bucket Brigade.Real8;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Bucket Brigade.Int4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Bucket Brigade.Real4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Saw-toothed Waves.Real8;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:40.2777100Z;Triangle Waves.Real8;2026-08-18T23:23:15.1724659Z;2026-08-18T23:30:24.6691955Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Random.Real8;2026-08-21T19:26:15.0532704Z;2026-08-21T19:33:24.5500000Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Random.Real4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Random.Int4;2026-08-21T19:26:15.0532704Z;2026-08-21T19:33:24.5500000Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Random.Int2;2026-08-21T23:17:41.2910000Z;2026-08-21T23:17:41.2910000Z;0.0000000;0
2026-08-21T23:17:41.2920134Z;Random.UInt4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Bucket Brigade.Real8;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Bucket Brigade.Int4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Bucket Brigade.Real4;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Saw-toothed Waves.Real8;2026-08-18T23:23:15.1714619Z;2026-08-18T23:30:24.6681915Z;429.4967296;1
2026-08-21T23:17:41.2920134Z;Triangle Waves.Real8;2026-08-18T23:23:15.1724659Z;2026-08-18T23:30:24.6691955Z;429.4967296;1
2026-08-21T23:17:42.3005551Z;Random.Real8;2026-08-21T23:17:41.2910000Z;2026-08-21T23:17:41.2910000Z;0.0000000;0
2026-08-21T23:17:42.3005551Z;Random.Real4;2026-08-21T23:17:41.2910000Z;2026-08-21T23:17:41.2910000Z;0.0000000;0
2026-08-21T23:17:42.3005551Z;Random.Int4;2026-08-21T23:17:42.2990000Z;2026-08-21T23:17:42.2990000Z;0.0000000;0
2026-08-21T23:17:42.3005551Z;Random.Int2;2026-08-21T23:17:42.2990000Z;2026-08-21T23:17:42.2990000Z;0.0000000;0
